ws,wy,wd,uq.cm,slc.mg_l,don.mg_l,doc.mg_l,ssn,,,,,,,
10,2014,21,0.93,8.57,0.02,1.11,Fall,,,,,,,
10,2014,43,2.44,10.9,0.02,0.83,Fall,,,,,,,
10,2014,65,9.14,7.93,0.05,1.44,Fall,,,,,,,
10,2014,84,2.66,8.67,0.05,1.17,Winter,,,,,,,
10,2014,106,8.74,8.5,0.02,1.11,Winter,,,,,,,
10,2014,127,6.1,9.06,0.01,0.87,Winter,,,,,,,
10,2014,147,39.69,8.22,0.015,0.88,Winter,,,,,,,
10,2014,169,25.41,8.56,0.02,0.79,Spring,,,,,,,
10,2014,190,16.42,8.68,0.02,0.84,Spring,,,,,,,
10,2014,211,9.87,9.07,0.03,0.86,Spring,,,,,,,
10,2014,233,7.69,9.32,0.04,0.86,Spring,,,,,,,
10,2014,253,1.18,10.17,0.03,0.68,Spring,,,,,,,
10,2014,274,0.65,10.04,0.03,0.91,Summer,,,,,,,
10,2014,295,0.56,10.54,0.02,0.73,Summer,,,,,,,
10,2014,317,0.33,10.29,0.02,0.75,Summer,,,,,,,
10,2014,337,0.17,10.12,0.03,0.68,Summer,,,,,,,
10,2014,358,0.1,9.82,0.02,0.59,Fall,,,,,,,
10,2015,15,0.2,9.59,0.05,1.21,Fall,,,,,,,
10,2015,36,2.91,8.19,0.09,2.88,Fall,,,,,,,
10,2015,56,10.32,7.36,0.05,1.76,Fall,,,,,,,
10,2015,77,16.51,8.28,0.02,1.08,Winter,,,,,,,
10,2015,99,27.4,8.18,0.03,0.96,Winter,,,,,,,
10,2015,119,9.06,8.8,0.04,0.86,Winter,,,,,,,
10,2015,141,11.11,8.87,0.03,1.11,Winter,,,,,,,
10,2015,161,1.65,9.75,0.02,0.64,Winter,,,,,,,
10,2015,182,4.53,8.75,0.03,1.05,Spring,,,,,,,
10,2015,203,3.63,8.84,0.02,0.9,Spring,,,,,,,
10,2015,224,1.61,9.53,0.01,0.69,Spring,,,,,,,
10,2015,247,0.97,9.85,0.02,0.83,Spring,,,,,,,
10,2015,266,0.29,10.19,0.03,0.65,Summer,,,,,,,
10,2015,288,0.32,10.34,0.03,0.68,Summer,,,,,,,
10,2015,307,0.15,10.11,0.03,0.64,Summer,,,,,,,
10,2015,329,0.09,9.95,0.04,0.84,Summer,,,,,,,
10,2015,350,0.14,9.56,0.04,1.24,Fall,,,,,,,
